K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,,,,,,,,,,,
440,1.5,0.623188542737,0.623188542737,0.623188542737,0.623188542737,,,,,,,,,,,
440,1.5,0.622993797738,0.622993797738,0.622993797738,0.622993797738,,,,,,,,,,,
200,2,0.622838615072,0.620192709891,0.622309434036,0.622838615072,,,,,,,,,,,
480,1.5,0.623927479895,0.622752419358,0.622987431465,0.622752419358,,,,,,,,,,,
150,3.5,0.62307750098,0.62264446801,0.622731074604,0.62264446801,,,,,,,,,,,
110,3,0.62250849385,0.62250849385,0.62250849385,0.62250849385,,,,,,,,,,,
110,3,0.62250849385,0.62250849385,0.62250849385,0.62250849385,,,,,,,,,,,
440,1.1,0.622391386876,0.620048229226,0.621922755346,0.622391386876,,,,,,,,,,,
150,3.5,0.62264446801,0.622261309227,0.622337940984,0.622261309227,,,,,,,,,,,
440,1.1,0.623484920352,0.622116363577,0.622390074932,0.622116363577,,,,,,,,,,,
480,1.5,0.623927479895,0.622080156263,0.622449620989,0.622080156263,,,,,,,,,,,
360,1.1,0.621957325553,0.621957325553,0.621957325553,0.621957325553,,,,,,,,,,,
360,1.1,0.621957325553,0.621957325553,0.621957325553,0.621957325553,,,,,,,,,,,
560,1.1,0.62192861319,0.62192861319,0.62192861319,0.62192861319,,,,,,,,,,,
560,1.1,0.62192861319,0.62192861319,0.62192861319,0.62192861319,,,,,,,,,,,
110,2.5,0.621790625651,0.621790625651,0.621790625651,0.621790625651,,,,,,,,,,,
110,2.5,0.621790625651,0.621790625651,0.621790625651,0.621790625651,,,,,,,,,,,
200,2,0.623106091801,0.621719037467,0.621996448334,0.621719037467,,,,,,,,,,,
480,1.1,0.622159093975,0.621577688181,0.62169396934,0.621577688181,,,,,,,,,,,
480,1.1,0.621577688181,0.621577688181,0.621577688181,0.621577688181,,,,,,,,,,,
480,1.1,0.621577688181,0.621577688181,0.621577688181,0.621577688181,,,,,,,,,,,
130,3.5,0.621557842555,0.620274202044,0.621301114453,0.621557842555,,,,,,,,,,,
400,1.1,0.622293883179,0.621516713738,0.621672147626,0.621516713738,,,,,,,,,,,
100,3,0.62117905169,0.62117905169,0.62117905169,0.62117905169,,,,,,,,,,,
100,3,0.62117905169,0.62117905169,0.62117905169,0.62117905169,,,,,,,,,,,
140,1.5,0.620974064585,0.620974064585,0.620974064585,0.620974064585,,,,,,,,,,,
140,1.5,0.620974064585,0.620974064585,0.620974064585,0.620974064585,,,,,,,,,,,
100,2.5,0.620936793325,0.620936793325,0.620936793325,0.620936793325,,,,,,,,,,,
100,2.5,0.620936793325,0.620273393205,0.620804113301,0.620936793325,,,,,,,,,,,
340,1.1,0.620928740452,0.619663339991,0.62067566036,0.620928740452,,,,,,,,,,,
340,1.1,0.620736031676,0.620041634559,0.620597152253,0.620736031676,,,,,,,,,,,
400,1.5,0.621815039839,0.620732267328,0.620948821831,0.620732267328,,,,,,,,,,,
400,1.5,0.620732267328,0.620732267328,0.620732267328,0.620732267328,,,,,,,,,,,
130,3.5,0.620274202044,0.620274202044,0.620274202044,0.620274202044,,,,,,,,,,,
340,1.1,0.619663339991,0.619626647771,0.619656001547,0.619663339991,,,,,,,,,,,
120,4,0.619603632384,0.619603632384,0.619603632384,0.619603632384,,,,,,,,,,,
120,4,0.619603632384,0.619603632384,0.619603632384,0.619603632384,,,,,,,,,,,
300,1.1,0.618974767754,0.618166772918,0.618813168787,0.618974767754,,,,,,,,,,,
160,1.1,0.618729800003,0.617957573979,0.618575354798,0.618729800003,,,,,,,,,,,
160,1.1,0.618729800003,0.618729800003,0.618729800003,0.618729800003,,,,,,,,,,,
380,1.1,0.618652486695,0.618185349155,0.618559059187,0.618652486695,,,,,,,,,,,
380,1.1,0.618652486695,0.618652486695,0.618652486695,0.618652486695,,,,,,,,,,,
140,4.2,0.618961984742,0.618468894625,0.618567512649,0.618468894625,,,,,,,,,,,
300,1.1,0.618193303787,0.61753238353,0.618061119736,0.618193303787,,,,,,,,,,,
150,1.1,0.618156213837,0.618156213837,0.618156213837,0.618156213837,,,,,,,,,,,
150,1.1,0.618156213837,0.618156213837,0.618156213837,0.618156213837,,,,,,,,,,,
140,4.4,0.61802249141,0.617339203397,0.617885833807,0.61802249141,,,,,,,,,,,
160,1.1,0.617957573979,0.616937855258,0.617753630235,0.617957573979,,,,,,,,,,,
380,1.1,0.618652486695,0.617849500201,0.6180100975,0.617849500201,,,,,,,,,,,
150,1.1,0.618156213837,0.617702870445,0.617793539123,0.617702870445,,,,,,,,,,,
250,2,0.617626575278,0.617626575278,0.617626575278,0.617626575278,,,,,,,,,,,
250,2,0.617626575278,0.617626575278,0.617626575278,0.617626575278,,,,,,,,,,,
140,4.5,0.617531414479,0.617531414479,0.617531414479,0.617531414479,,,,,,,,,,,
180,3,0.61753071674,0.617504912653,0.61751007347,0.617504912653,,,,,,,,,,,
100,2,0.61749127482,0.61749127482,0.61749127482,0.61749127482,,,,,,,,,,,
100,2,0.61749127482,0.61749127482,0.61749127482,0.61749127482,,,,,,,,,,,
160,4,0.617218149288,0.617218149288,0.617218149288,0.617218149288,,,,,,,,,,,
160,4,0.617218149288,0.617218149288,0.617218149288,0.617218149288,,,,,,,,,,,
180,3,0.61753071674,0.616931466681,0.617051316693,0.616931466681,,,,,,,,,,,
130,4,0.616886781608,0.616886781608,0.616886781608,0.616886781608,,,,,,,,,,,
130,4,0.616886781608,0.616886781608,0.616886781608,0.616886781608,,,,,,,,,,,
110,3.5,0.616746165832,0.616746165832,0.616746165832,0.616746165832,,,,,,,,,,,
110,3.5,0.616746165832,0.616746165832,0.616746165832,0.616746165832,,,,,,,,,,,
130,1.1,0.616684915963,0.616684915963,0.616684915963,0.616684915963,,,,,,,,,,,
130,1.1,0.616684915963,0.616684915963,0.616684915963,0.616684915963,,,,,,,,,,,
130,1.1,0.616684915963,0.616684915963,0.616684915963,0.616684915963,,,,,,,,,,,
250,1.5,0.616655087335,0.615970445012,0.61651815887,0.616655087335,,,,,,,,,,,
250,1.5,0.616655087335,0.615970445012,0.61651815887,0.616655087335,,,,,,,,,,,
140,1.1,0.616592725948,0.615582525139,0.616390685786,0.616592725948,,,,,,,,,,,
130,1.5,0.616416307491,0.616416307491,0.616416307491,0.616416307491,,,,,,,,,,,
130,1.5,0.616416307491,0.616416307491,0.616416307491,0.616416307491,,,,,,,,,,,
90,2.5,0.61602674605,0.615738763046,0.615969149449,0.61602674605,,,,,,,,,,,
90,3,0.615859881884,0.615859881884,0.615859881884,0.615859881884,,,,,,,,,,,
90,3,0.615859881884,0.615859881884,0.615859881884,0.615859881884,,,,,,,,,,,
110,4.2,0.615657525776,0.615657525776,0.615657525776,0.615657525776,,,,,,,,,,,
140,1.1,0.616963527091,0.615582525139,0.615858725529,0.615582525139,,,,,,,,,,,
140,1.1,0.615582525139,0.615582525139,0.615582525139,0.615582525139,,,,,,,,,,,
150,4,0.615573828124,0.615573828124,0.615573828124,0.615573828124,,,,,,,,,,,
150,4,0.615573828124,0.615573828124,0.615573828124,0.615573828124,,,,,,,,,,,
110,4,0.615537834023,0.615537834023,0.615537834023,0.615537834023,,,,,,,,,,,
140,4.6,0.615515762167,0.615515762167,0.615515762167,0.615515762167,,,,,,,,,,,
90,2,0.615418295879,0.615418295879,0.615418295879,0.615418295879,,,,,,,,,,,
90,2,0.615418295879,0.615418295879,0.615418295879,0.615418295879,,,,,,,,,,,
120,1.5,0.615114326575,0.615114326575,0.615114326575,0.615114326575,,,,,,,,,,,
120,1.5,0.615114326575,0.615114326575,0.615114326575,0.615114326575,,,,,,,,,,,
90,2.5,0.615017526241,0.615017526241,0.615017526241,0.615017526241,,,,,,,,,,,
70,2.5,0.614696646148,0.614696646148,0.614696646148,0.614696646148,,,,,,,,,,,
70,2.5,0.614696646148,0.614696646148,0.614696646148,0.614696646148,,,,,,,,,,,
110,4.4,0.61466850814,0.61466850814,0.61466850814,0.61466850814,,,,,,,,,,,
120,4.6,0.614604993767,0.614604993767,0.614604993767,0.614604993767,,,,,,,,,,,
70,3,0.614491529259,0.614491529259,0.614491529259,0.614491529259,,,,,,,,,,,
70,3,0.614491529259,0.614491529259,0.614491529259,0.614491529259,,,,,,,,,,,
140,4.7,0.614418404437,0.614418404437,0.614418404437,0.614418404437,,,,,,,,,,,
120,4.4,0.614400832726,0.614400832726,0.614400832726,0.614400832726,,,,,,,,,,,
120,4.5,0.614400832726,0.614400832726,0.614400832726,0.614400832726,,,,,,,,,,,
120,1.1,0.613803485464,0.613803485464,0.613803485464,0.613803485464,,,,,,,,,,,
120,1.1,0.613803485464,0.613803485464,0.613803485464,0.613803485464,,,,,,,,,,,
300,1.1,0.617505899376,0.613777649838,0.614523299746,0.613777649838,,,,,,,,,,,
100,4,0.613718838065,0.613718838065,0.613718838065,0.613718838065,,,,,,,,,,,
100,4,0.613718838065,0.613718838065,0.613718838065,0.613718838065,,,,,,,,,,,
130,4.2,0.613368624371,0.613368624371,0.613368624371,0.613368624371,,,,,,,,,,,
100,3.5,0.613290687606,0.613290687606,0.613290687606,0.613290687606,,,,,,,,,,,
100,3.5,0.613290687606,0.613290687606,0.613290687606,0.613290687606,,,,,,,,,,,
110,4.5,0.61325933843,0.61325933843,0.61325933843,0.61325933843,,,,,,,,,,,
120,4.8,0.613228182414,0.613228182414,0.613228182414,0.613228182414,,,,,,,,,,,
140,4.8,0.613203773194,0.613203773194,0.613203773194,0.613203773194,,,,,,,,,,,
140,4.9,0.613202677929,0.613202677929,0.613202677929,0.613202677929,,,,,,,,,,,
110,4.7,0.613173489808,0.613173489808,0.613173489808,0.613173489808,,,,,,,,,,,
120,4.7,0.613141913543,0.613141913543,0.613141913543,0.613141913543,,,,,,,,,,,
110,4.6,0.613060294585,0.613060294585,0.613060294585,0.613060294585,,,,,,,,,,,
90,3.5,0.612968273673,0.611655203147,0.612705659568,0.612968273673,,,,,,,,,,,
70,4.4,0.612671443114,0.612671443114,0.612671443114,0.612671443114,,,,,,,,,,,
100,4.2,0.612607813415,0.612607813415,0.612607813415,0.612607813415,,,,,,,,,,,
150,4.2,0.612459310435,0.612459310435,0.612459310435,0.612459310435,,,,,,,,,,,
110,5.5,0.61240343186,0.61240343186,0.61240343186,0.61240343186,,,,,,,,,,,
110,4.8,0.612336145498,0.612336145498,0.612336145498,0.612336145498,,,,,,,,,,,
120,5,0.61224199571,0.61224199571,0.61224199571,0.61224199571,,,,,,,,,,,
110,5.6,0.612204830693,0.612204830693,0.612204830693,0.612204830693,,,,,,,,,,,
110,5.7,0.612204830693,0.612204830693,0.612204830693,0.612204830693,,,,,,,,,,,
110,5.9,0.612204830693,0.612204830693,0.612204830693,0.612204830693,,,,,,,,,,,
110,5.4,0.612640228105,0.612181249731,0.612273045406,0.612181249731,,,,,,,,,,,
110,5,0.612181249731,0.612181249731,0.612181249731,0.612181249731,,,,,,,,,,,
110,5.1,0.612181249731,0.612181249731,0.612181249731,0.612181249731,,,,,,,,,,,
110,5.2,0.612181249731,0.612181249731,0.612181249731,0.612181249731,,,,,,,,,,,
110,5.3,0.612181249731,0.612181249731,0.612181249731,0.612181249731,,,,,,,,,,,
120,4.9,0.612035571628,0.612035571628,0.612035571628,0.612035571628,,,,,,,,,,,
200,1.5,0.611960875112,0.611430830995,0.611854866288,0.611960875112,,,,,,,,,,,
130,4.4,0.611834171641,0.611834171641,0.611834171641,0.611834171641,,,,,,,,,,,
130,4.5,0.611834171641,0.611834171641,0.611834171641,0.611834171641,,,,,,,,,,,
200,1.1,0.611625422124,0.611625422124,0.611625422124,0.611625422124,,,,,,,,,,,
200,1.1,0.611625422124,0.611625422124,0.611625422124,0.611625422124,,,,,,,,,,,
140,5,0.612124075597,0.611614035931,0.611716043864,0.611614035931,,,,,,,,,,,
200,1.5,0.611430830995,0.610540268709,0.611252718537,0.611430830995,,,,,,,,,,,
110,1.5,0.611357808096,0.611357808096,0.611357808096,0.611357808096,,,,,,,,,,,
110,1.5,0.611357808096,0.611357808096,0.611357808096,0.611357808096,,,,,,,,,,,
250,1.1,0.611282719364,0.611282719364,0.611282719364,0.611282719364,,,,,,,,,,,
250,1.1,0.611282719364,0.611282719364,0.611282719364,0.611282719364,,,,,,,,,,,
140,5.2,0.611178342143,0.611178342143,0.611178342143,0.611178342143,,,,,,,,,,,
110,4.9,0.611059910196,0.611059910196,0.611059910196,0.611059910196,,,,,,,,,,,
140,5.1,0.611024384942,0.611024384942,0.611024384942,0.611024384942,,,,,,,,,,,
180,1.1,0.61092774927,0.61092774927,0.61092774927,0.61092774927,,,,,,,,,,,
180,1.1,0.61092774927,0.61092774927,0.61092774927,0.61092774927,,,,,,,,,,,
180,1.1,0.61092774927,0.61092774927,0.61092774927,0.61092774927,,,,,,,,,,,
70,4.5,0.610890483322,0.610890483322,0.610890483322,0.610890483322,,,,,,,,,,,
160,4.4,0.610853250515,0.610853250515,0.610853250515,0.610853250515,,,,,,,,,,,
130,4.7,0.610736002628,0.610736002628,0.610736002628,0.610736002628,,,,,,,,,,,
90,4,0.610646542702,0.610646542702,0.610646542702,0.610646542702,,,,,,,,,,,
90,4,0.610646542702,0.610646542702,0.610646542702,0.610646542702,,,,,,,,,,,
130,4.6,0.610517607454,0.610517607454,0.610517607454,0.610517607454,,,,,,,,,,,
90,4.4,0.610417033003,0.610417033003,0.610417033003,0.610417033003,,,,,,,,,,,
180,1.5,0.610392532545,0.610392532545,0.610392532545,0.610392532545,,,,,,,,,,,
180,1.5,0.610392532545,0.610392532545,0.610392532545,0.610392532545,,,,,,,,,,,
340,1.5,0.610264627075,0.608840171341,0.609979735928,0.610264627075,,,,,,,,,,,
140,5.3,0.610064394177,0.610064394177,0.610064394177,0.610064394177,,,,,,,,,,,
140,5.4,0.610064394177,0.610064394177,0.610064394177,0.610064394177,,,,,,,,,,,
140,5.5,0.610064394177,0.610064394177,0.610064394177,0.610064394177,,,,,,,,,,,
300,1.5,0.61001614474,0.607989225808,0.609610760954,0.61001614474,,,,,,,,,,,
300,1.5,0.61001614474,0.609643689415,0.609941653675,0.61001614474,,,,,,,,,,,
90,4.2,0.610009069329,0.610009069329,0.610009069329,0.610009069329,,,,,,,,,,,
100,1.5,0.609941541253,0.609245327385,0.609802298479,0.609941541253,,,,,,,,,,,
160,4.5,0.609931275661,0.60952012288,0.609849045105,0.609931275661,,,,,,,,,,,
150,4.4,0.609868071855,0.609868071855,0.609868071855,0.609868071855,,,,,,,,,,,
150,2,0.609848945155,0.609848945155,0.609848945155,0.609848945155,,,,,,,,,,,
150,2,0.609848945155,0.609848945155,0.609848945155,0.609848945155,,,,,,,,,,,
110,1.1,0.609731563182,0.609731563182,0.609731563182,0.609731563182,,,,,,,,,,,
110,1.1,0.609731563182,0.609731563182,0.609731563182,0.609731563182,,,,,,,,,,,
100,4.8,0.609726717262,0.609726717262,0.609726717262,0.609726717262,,,,,,,,,,,
100,4.9,0.609726717262,0.609726717262,0.609726717262,0.609726717262,,,,,,,,,,,
100,5,0.609726717262,0.609726717262,0.609726717262,0.609726717262,,,,,,,,,,,
70,2,0.609477558554,0.609477558554,0.609477558554,0.609477558554,,,,,,,,,,,
70,2,0.609477558554,0.609477558554,0.609477558554,0.609477558554,,,,,,,,,,,
130,4.8,0.60934990749,0.60934990749,0.60934990749,0.60934990749,,,,,,,,,,,
130,4.9,0.60934990749,0.60934990749,0.60934990749,0.60934990749,,,,,,,,,,,
130,5,0.60934990749,0.60934990749,0.60934990749,0.60934990749,,,,,,,,,,,
130,5.1,0.60934990749,0.60934990749,0.60934990749,0.60934990749,,,,,,,,,,,
90,4.5,0.609346937235,0.609346937235,0.609346937235,0.609346937235,,,,,,,,,,,
90,4.6,0.609346937235,0.609346937235,0.609346937235,0.609346937235,,,,,,,,,,,
90,5.1,0.609346937235,0.609346937235,0.609346937235,0.609346937235,,,,,,,,,,,
140,5.6,0.609305123679,0.609305123679,0.609305123679,0.609305123679,,,,,,,,,,,
140,5.7,0.609305123679,0.609305123679,0.609305123679,0.609305123679,,,,,,,,,,,
100,5.7,0.610266603328,0.609262091276,0.609462993687,0.609262091276,,,,,,,,,,,
100,5.9,0.610266603328,0.609262091276,0.609462993687,0.609262091276,,,,,,,,,,,
100,5.5,0.609262091276,0.609262091276,0.609262091276,0.609262091276,,,,,,,,,,,
100,5.6,0.609262091276,0.609262091276,0.609262091276,0.609262091276,,,,,,,,,,,
100,1.5,0.609245327385,0.609245327385,0.609245327385,0.609245327385,,,,,,,,,,,
100,4.7,0.609144193303,0.609144193303,0.609144193303,0.609144193303,,,,,,,,,,,
110,7,0.609134866202,0.609134866202,0.609134866202,0.609134866202,,,,,,,,,,,
90,1.5,0.609117845648,0.609117845648,0.609117845648,0.609117845648,,,,,,,,,,,
90,1.5,0.609117845648,0.609117845648,0.609117845648,0.609117845648,,,,,,,,,,,
90,4.7,0.609014405516,0.609014405516,0.609014405516,0.609014405516,,,,,,,,,,,
90,4.8,0.609014405516,0.609014405516,0.609014405516,0.609014405516,,,,,,,,,,,
90,4.9,0.609014405516,0.609014405516,0.609014405516,0.609014405516,,,,,,,,,,,
90,5,0.609014405516,0.609014405516,0.609014405516,0.609014405516,,,,,,,,,,,
100,4.5,0.608964989203,0.608964989203,0.608964989203,0.608964989203,,,,,,,,,,,
100,4.6,0.608964989203,0.608964989203,0.608964989203,0.608964989203,,,,,,,,,,,
100,5.1,0.609659973956,0.608855052538,0.609016036821,0.608855052538,,,,,,,,,,,
100,5.2,0.608855052538,0.608855052538,0.608855052538,0.608855052538,,,,,,,,,,,
100,5.3,0.608855052538,0.608855052538,0.608855052538,0.608855052538,,,,,,,,,,,
100,5.4,0.608855052538,0.608855052538,0.608855052538,0.608855052538,,,,,,,,,,,
100,4.4,0.608752975938,0.608752975938,0.608752975938,0.608752975938,,,,,,,,,,,
150,4.6,0.608628663552,0.608215798733,0.608546090588,0.608628663552,,,,,,,,,,,
90,5.2,0.608540494685,0.608540494685,0.608540494685,0.608540494685,,,,,,,,,,,
180,3.5,0.608518243409,0.608518243409,0.608518243409,0.608518243409,,,,,,,,,,,
180,3.5,0.608518243409,0.608518243409,0.608518243409,0.608518243409,,,,,,,,,,,
120,5.4,0.608353616349,0.608353616349,0.608353616349,0.608353616349,,,,,,,,,,,
150,4.5,0.608271733747,0.608271733747,0.608271733747,0.608271733747,,,,,,,,,,,
100,7,0.608245982741,0.608245982741,0.608245982741,0.608245982741,,,,,,,,,,,
180,2,0.60823766631,0.607721263187,0.608134385685,0.60823766631,,,,,,,,,,,
90,5.3,0.608208290297,0.608208290297,0.608208290297,0.608208290297,,,,,,,,,,,
90,5.4,0.608208290297,0.608208290297,0.608208290297,0.608208290297,,,,,,,,,,,
90,5.5,0.608208290297,0.608208290297,0.608208290297,0.608208290297,,,,,,,,,,,
160,4.6,0.608144191878,0.608144191878,0.608144191878,0.608144191878,,,,,,,,,,,
70,4.6,0.60813804954,0.60813804954,0.60813804954,0.60813804954,,,,,,,,,,,
120,5.1,0.608107285776,0.608107285776,0.608107285776,0.608107285776,,,,,,,,,,,
160,2,0.60799961137,0.60799961137,0.60799961137,0.60799961137,,,,,,,,,,,
120,5.5,0.607966006598,0.607966006598,0.607966006598,0.607966006598,,,,,,,,,,,
120,5.6,0.607966006598,0.607966006598,0.607966006598,0.607966006598,,,,,,,,,,,
120,5.7,0.607966006598,0.607966006598,0.607966006598,0.607966006598,,,,,,,,,,,
340,1.5,0.609888342879,0.607821233002,0.608234654977,0.607821233002,,,,,,,,,,,
100,1.1,0.607793990185,0.607793990185,0.607793990185,0.607793990185,,,,,,,,,,,
100,1.1,0.607793990185,0.607793990185,0.607793990185,0.607793990185,,,,,,,,,,,
70,4.7,0.607776036738,0.607776036738,0.607776036738,0.607776036738,,,,,,,,,,,
150,4.7,0.607756244519,0.607756244519,0.607756244519,0.607756244519,,,,,,,,,,,
180,2,0.608951942777,0.607721263187,0.607967399105,0.607721263187,,,,,,,,,,,
100,7.4,0.607557871897,0.607557871897,0.607557871897,0.607557871897,,,,,,,,,,,
100,7.5,0.607557871897,0.607557871897,0.607557871897,0.607557871897,,,,,,,,,,,
100,7.6,0.607557871897,0.607557871897,0.607557871897,0.607557871897,,,,,,,,,,,
90,5.6,0.60740389546,0.60740389546,0.60740389546,0.60740389546,,,,,,,,,,,
90,5.7,0.60740389546,0.60740389546,0.60740389546,0.60740389546,,,,,,,,,,,
90,5.9,0.60740389546,0.60740389546,0.60740389546,0.60740389546,,,,,,,,,,,
70,4.8,0.607328955565,0.607328955565,0.607328955565,0.607328955565,,,,,,,,,,,
140,5.9,0.607311113963,0.607045891333,0.607258069437,0.607311113963,,,,,,,,,,,
130,5.3,0.607618157087,0.607144120703,0.60723892798,0.607144120703,,,,,,,,,,,
130,5.4,0.6070957435,0.6070957435,0.6070957435,0.6070957435,,,,,,,,,,,
120,5.2,0.607007394513,0.607007394513,0.607007394513,0.607007394513,,,,,,,,,,,
140,7,0.606982482656,0.606982482656,0.606982482656,0.606982482656,,,,,,,,,,,
70,4.9,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5.1,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5.2,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5.3,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5.4,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
70,5.5,0.606931884327,0.606931884327,0.606931884327,0.606931884327,,,,,,,,,,,
150,5,0.606871148493,0.606871148493,0.606871148493,0.606871148493,,,,,,,,,,,
140,2,0.606582821752,0.606582821752,0.606582821752,0.606582821752,,,,,,,,,,,
140,2,0.606582821752,0.605983377227,0.606462932847,0.606582821752,,,,,,,,,,,
150,4.9,0.60655653401,0.60655653401,0.60655653401,0.60655653401,,,,,,,,,,,
150,4.8,0.606497419401,0.606497419401,0.606497419401,0.606497419401,,,,,,,,,,,
130,5.5,0.606491546656,0.606491546656,0.606491546656,0.606491546656,,,,,,,,,,,
100,7.8,0.6062431888,0.6062431888,0.6062431888,0.6062431888,,,,,,,,,,,
110,7.4,0.606176035644,0.606176035644,0.606176035644,0.606176035644,,,,,,,,,,,
100,8,0.606102480372,0.606102480372,0.606102480372,0.606102480372,,,,,,,,,,,
100,8.5,0.606102480372,0.606102480372,0.606102480372,0.606102480372,,,,,,,,,,,
90,1.1,0.605677562145,0.605677562145,0.605677562145,0.605677562145,,,,,,,,,,,
90,1.1,0.605677562145,0.605677562145,0.605677562145,0.605677562145,,,,,,,,,,,
90,1.1,0.605677562145,0.605677562145,0.605677562145,0.605677562145,,,,,,,,,,,
160,4.7,0.605588840248,0.605588840248,0.605588840248,0.605588840248,,,,,,,,,,,
70,5.6,0.605556653888,0.605556653888,0.605556653888,0.605556653888,,,,,,,,,,,
140,7.5,0.605482217635,0.605482217635,0.605482217635,0.605482217635,,,,,,,,,,,
140,7.6,0.605482217635,0.605482217635,0.605482217635,0.605482217635,,,,,,,,,,,
150,5.5,0.604884928257,0.604884928257,0.604884928257,0.604884928257,,,,,,,,,,,
120,5.9,0.604874933518,0.604874933518,0.604874933518,0.604874933518,,,,,,,,,,,
150,5.4,0.60476214767,0.60476214767,0.60476214767,0.60476214767,,,,,,,,,,,
